label,address,name_tag
Wallet App,0xAE66d00496Aaa25418f829140BB259163c06986E,Super Wallet Token (SW)
Wallet App,0x41bc0913ed789428e107c4ea9ed007815c5a8230,kompass (KOMP)
Wallet App,0x02f02e0ca8a521ef73daa9c45353b9fbefc5ee10,RenrenBit Token (RRB)
Wallet App,0x5fad30c7fb53c78ca49c595ddbb40771279bf56e,Wrapped ZooBC (WZBC)
Wallet App,0x0aff88b4cf3015c9c17f1da1fccb88c632f3505e,Quarashi (QUA)
Wallet App,0x4442556a08a841227bef04c67a7ba7acf01b6fc8,Monarch Token (MT)
Cold Wallet,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,Binance 7
Cold Wallet,0x2b49ce21ad2004cfb3d0b51b2e8ec0406d632513,Bitbee
Cold Wallet,0x33683b94334eebc9bd3ea85ddbda4a86fb461405,Coinbene: Cold Wallet
Cold Wallet,0x6025d96932d378be7d0a46343b437678a126ecca,Freewallet: Cold Wallet
Cold Wallet,0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,Gemini 3
Cold Wallet,0xd40cc2a93c84bf220b25b5b9b2dc49136f775a3c,Innovaminex: Cold Wallet
Cold Wallet,0x53d284357ec70ce289d6d64134dfac8e511c8a3d,Kraken 6
Cold Wallet,0x88e343f4599292c2cffe683c1bb93cd3480bdbab,PXN: Cold Wallet
Cold Wallet,0xc9cf0ec93d764f5c9571fd12f764bae7fc87c84e,Upbit: Cold Wallet
Cold Wallet,0x15c5312e24482547ff35899afedcaeb572ecb029,xs2.exchange
MyEtherWallet,0x01234567bac6ff94d7e4f0ee23119cf848f93245,ETH Blocks (ETHB)
ICO Wallets,0x93b7e9364c4df6de55ed0d10c80e7afc0612e93a,Metal: Wallet
ICO Wallets,0x68c4b7d05fae45bcb6192bb93e246c77e98360e1,Metronome: Proceeds
ICO Wallets,0x00832a758a781055ac19b5f9bf553db8bb9db32d,Monetha: Wallet
ICO Wallets,0xfd053b5447cb0625464e6e277005fe8adf3c8469,MTC: MultiSig
ICO Wallets,0xc7cd9d874f93f2409f39a95987b3e3c738313925,Musiconomi: MultiSig
ICO Wallets,0x7e6614722614e434c4df9901bab31e466ba12fa4,Mysterium: MultiSig
ICO Wallets,0x19c1f4d2cf1606d1ba3030aef48b96e56bc92a6a,NodePower: Wallet
ICO Wallets,0x2b3b67c6dffc2bcdda2315491eac9bbe868fbcdd,OAX: Wallet
ICO Wallets,0x2149cbdd59b50bef9a264914b441f917dc9c7d55,OneLedger: Wallet
ICO Wallets,0xf821fd99bca2111327b6a411c90be49dcf78ce0f,PayPie: MultiSig
ICO Wallets,0x01091506ce9f1977a660c5ad4915cbd89e4e1a49,PChain: Wallet
ICO Wallets,0x746aaac06b04c36f5fea9bbb35ca75518eda1cca,Perlin: Token Sale
ICO Wallets,0x26d08b9d227933a85e855656dc46ab889e183c88,Playkey: Token Sale
ICO Wallets,0x04c62019ab478bff5874e7b7d9bc84fcf7e30025,POA Network: MultiSig
ICO Wallets,0x3bfc20f0b9afcace800d73d2191166ff16540258,Polkadot: MultiSig
ICO Wallets,0xe9eca8bb5e61e8e32f26b5e8c117561f68084a9c,Polybius: MultiSig
ICO Wallets,0xafa1c92a27215d1d1dad4fa89972e7c8d91218f9,PolySwarm: Wallet
ICO Wallets,0x5a8b20e070e82b4e3fb97ecbd71b587a74f2ecc1,Populous: MultiSig 1
ICO Wallets,0x1a8cc57f1155d7df4626978401e203e00da097f7,Populous: MultiSig 2
ICO Wallets,0xca48ba80cfa6cc06963b62aee48000f031c7e2dc,Populous: Wallet 1
ICO Wallets,0xee155572635ae7d1f4e30ec3179ce65b5342cb17,Populous: Wallet 2
ICO Wallets,0xb1c5d524382324c9472c6f8e1a3c0a64465a4902,Privatix: MultiSig
ICO Wallets,0x10987d8361338eae4472f107cf069558c54516ae,Propy: MultiSig
ICO Wallets,0x00674045bb7c17f0aa1cde34780d6c51af548728,Prospectors: MultiSig
ICO Wallets,0x00c7122633a4ef0bc72f7d02456ee2b11e97561e,Raiden: MultiSig
ICO Wallets,0xb0c591788ac5f9638a8aea025019e626f17186df,Rate3: Wallet 1
ICO Wallets,0x841991ffe0dafd619bc517d82ee4700c37136140,Rate3: Wallet 2
ICO Wallets,0x9a4cd44c1a55cfda565430dee9bfb54f2aacfd6a,Republic Protocol: MultiSig
ICO Wallets,0xdd76b55ee6dafe0c7c978bff69206d476a5b9ce7,Request: MultiSig
ICO Wallets,0xa5d1e58ece1fc438d64e65769d2ab730143a4caf,Robomed Token
ICO Wallets,0xe76fe52a251c8f3a5dcd657e47a6c8d16fdf4bfa,Santiment: Wallet 1
ICO Wallets,0x6dd5a9f47cfbc44c04a0a4452f0ba792ebfbcc9a,Santiment: Wallet 2
ICO Wallets,0x1f3df0b8390bb8e9e322972c5e75583e87608ec2,Santiment: Wallet 3
ICO Wallets,0x3e5dcce17765928400ee4a4b8905e1dd9f42a00f,Savedroid: Wallet
ICO Wallets,0x47c8f28e6056374aba3df0854306c2556b104601,Serenity: Wallet
ICO Wallets,0x5574754c7cb6618d0079065bfabdc46f31bc7a32,SigmaCoin: Wallet
ICO Wallets,0x2ef2782905830533d218b7ff4d15b8c0981ce84b,Simple Token: MultiSig
ICO Wallets,0x5901deb2c898d5dbe5923e05e510e95968a35067,SingularDTV: MultiSig
ICO Wallets,0xc78310231aa53bd3d0fea2f8c705c67730929d8f,SingularDTV: Wallet
ICO Wallets,0x5978c1473ee84dd9cf3d90d0e931a79906ee52c5,Sirin Labs: MultiSig
ICO Wallets,0xa4ddd3977920796bfb14ca8d0fb97491fa72a11d,Sirin Labs: Refund Vault
ICO Wallets,0x6f6deb5db0c4994a8283a01d6cfeeb27fc3bbe9c,SmartBillions Token
ICO Wallets,0xe804ad72e60503ed47d267351bdd3441ac1ccb03,SocialX: MultiSig
ICO Wallets,0xdf398e0be9e0da2d8f8d687fd6b2c9082eefc29a,Soma: Liquidity Reserve Wallet
ICO Wallets,0x22c6731a21ad946bcd934f62f04b2d06ebfbedc9,Soma: Wallet
ICO Wallets,0xdc9727d102f00adf0043d04431b6cd162c5114ea,SpankChain: MultiSig
ICO Wallets,0x0c295c085cae9c6278df49477d29f71d78c5490d,Sparkster: Wallet
ICO Wallets,0xa646e29877d52b9e2de457eca09c724ff16d0a2b,Status: Research &amp; Development MultiSig
ICO Wallets,0x0f564a2a5fde73349890e86e9b2aa1639994bf2f,Storj: MultiSig 1
ICO Wallets,0xa33516e6f64c6c2869dff6744953a472cd60c8f6,Storj: MultiSig 2
ICO Wallets,0xf3d1f26b31db83c8899626746d0bbc59d9dd223c,Storj: MultiSig 3
ICO Wallets,0x606b2272215a0cdd1cf4f38293ffaa42f0f56c34,Storm: Wallet 1
ICO Wallets,0x36be38dab57631aae070b8977daa35d6de1ab8a0,Storm: Wallet 2
ICO Wallets,0xaf518d65f84e4695a4da0450ec02c1248f56b668,Substratum: Token Sale
ICO Wallets,0x34967c335d86efc3043fb75f807a0780ffb6905a,SyncFab: MultiSig 1
ICO Wallets,0x84a6ddb94f9d16334896f581c7f927a9e6ae5601,SyncFab: MultiSig 2
ICO Wallets,0x185f19b43d818e10a31be68f445ef8edcb8afb83,TenX: MultiSig
