address,label,name_tag
0x700f6912e5753e91ea3fae877a2374a2db1245d7,exchange,Yunbi 3
0x60d0cc2ae15859f69bf74dadb8ae3bd58434976b,exchange,ZB.com
0xbb3fd383d1c5540e52ef0a7bcb9433375793aeaf,exchange,exchange_temporal_address
0x4dc98c79a52968a6c20ce9a7a08d5e8d1c2d5605,exchange,exchange_temporal_address
0x05f51aab068caa6ab7eeb672f88c180f67f17ec7,exchange,ABCC
0x2ddd202174a72514ed522e77972b461b03155525,exchange,Alcumex Exchange
0xaecbe94703df39b49ac440feb177c7f1f782c064,exchange,APROBIT
0xf0c80fb9fb22bef8269cb6feb9a51130288a671f,exchange,Artis Turba Exchange 1
0x94597850916a49b3b152ee374e97260b99249f5b,exchange,Artis Turba Exchange 2
0x82a403c14483931b2ff6e4440c8373ccfee698b8,exchange,ArzPaya.com
0x03bdf69b1322d623836afbd27679a1c0afa067e9,exchange,AscendEX 1
0x4b1a99467a284cc690e3237bc69105956816f762,exchange,AscendEX 2
0x986a2fca9eda0e06fbf7839b89bfc006ee2a23dd,exchange,AscendEX 3
0x4df5f3610e2471095a130d7d934d551f3dde01ed,exchange,ATAIX
0x92dbd8e0a46edd62aa42d1f7902d0e496bddc15a,exchange,Azbit
0xadb72986ead16bdbc99208086bd431c1aa38938e,exchange,Beaxy
0x258b7b9a1ba92f47f5f4f5e733293477620a82cb,exchange,Beldex
0x7a10ec7d68a048bdae36a70e93532d31423170fa,exchange,Bgogo 1
0xce1bf8e51f8b39e51c6184e059786d1c0eaf360f,exchange,Bgogo 2
0xf73c3c65bde10bf26c2e1763104e609a41702efe,exchange,Bibox
0x0bb5de248dbbd31ee6c402c3c4a70293024acf74,exchange,Bidesk 2
0xed5cdb0d02152046e6f234ad578613831b9184d4,exchange,Bidesk 3
0xa30d8157911ef23c46c0eb71889efe6a648a41f7,exchange,BigONE
0x6eff3372fa352b239bb24ff91b423a572347000d,exchange,BIKI.com
0xf7793d27a1b76cdf14db7c83e82c772cf7c92910,exchange,Bilaxy 1
0xcce8d59affdd93be338fc77fa0a298c2cb65da59,exchange,Bilaxy 2
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,exchange,Binance
0x85b931a32a0725be14285b66f1a22178c672d69b,exchange,Binance 10
0x708396f17127c42383e3b9014072679b2f60b82f,exchange,Binance 11
0xe0f0cfde7ee664943906f17f7f14342e76a5cec7,exchange,Binance 12
0x8f22f2063d253846b53609231ed80fa571bc0c8f,exchange,Binance 13
0x28c6c06298d514db089934071355e5743bf21d60,exchange,Binance 14
0x21a31ee1afc51d94c2efccaa2092ad1028285549,exchange,Binance 15
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,exchange,Binance 16
0x56eddb7aa87536c09ccc2793473599fd21a8b17f,exchange,Binance 17
0x9696f59e4d72e237be84ffd425dcad154bf96976,exchange,Binance 18
0x4d9ff50ef4da947364bb9650892b2554e7be5e2b,exchange,Binance 19
0xd551234ae421e3bcba99a0da6d736074f22192ff,exchange,Binance 2
0x4976a4a02f38326660d17bf34b431dc6e2eb2327,exchange,Binance 20
0xd88b55467f58af508dbfdc597e8ebd2ad2de49b3,exchange,Binance 21
0x7dfe9a368b6cf0c0309b763bb8d16da326e8f46e,exchange,Binance 22
0x345d8e3a1f62ee6b1d483890976fd66168e390f2,exchange,Binance 23
0xc3c8e0a39769e2308869f7461364ca48155d1d9e,exchange,Binance 24
0x2e581a5ae722207aa59acd3939771e7c7052dd3d,exchange,Binance 25
0x44592b81c05b4c35efb8424eb9d62538b949ebbf,exchange,Binance 26
0xd5fd1bc99d5801278345e9d29be2225d06c26e93,exchange,Binance 27
0x06a0048079ec6571cd1b537418869cde6191d42d,exchange,Binance 29
0x564286362092d8e7936f0549571a803b203aaced,exchange,Binance 3
0x892e9e24aea3f27f4c6e9360e312cce93cc98ebe,exchange,Binance 30
0x00799bbc833d5b168f0410312d2a8fd9e0e3079c,exchange,Binance 31
0x141fef8cd8397a390afe94846c8bd6f4ab981c48,exchange,Binance 32
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,exchange,Binance 4
0xfe9e8709d3215310075d67e3ed32a380ccf451c8,exchange,Binance 5
0x4e9ce36e442e55ecd9025b9a6e0d88485d628a67,exchange,Binance 6
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,exchange,Binance 7
0xf977814e90da44bfa03b6295a0616a897441acec,exchange,Binance 8
0x001866ae5b3de6caa5a51543fd9fb64f524f5478,exchange,Binance 9
0xab83d182f3485cf1d6ccdd34c7cfef95b4c08da4,exchange,Binance JEX
0x47ac0fb4f2d84898e4d9e7b4dab3c24507a6d503,exchange,Binance: Binance-Peg Tokens
0x4b729cf402cfcffd057e254924b32241aedc1795,exchange,Bit-Z
 0x7c49e1c0e33f3efb57d64b7690fa287c8d15b90a,exchange,Bit2C
0x2b49ce21ad2004cfb3d0b51b2e8ec0406d632513,exchange,Bitbee
0x5d375281582791a38e0348915fa9cbc6139e9c2a,exchange,BitBlinx
0x7a91a362d4f2c9c4627688d5b7090bbb12e5715f,exchange,Bitci
0x28ebe764b8f9a853509840645216d3c2c0fd774b,exchange,BiteBTC
0x7217d64f77041ce320c356d1a2185bcb89798a0a,exchange,Bitexlive
0x57a47cfe647306a406118b6cf36459a1756823d0,exchange,Bitexlive 2
0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,exchange,Bitfinex 1
0x36a85757645e8e8aec062a1dee289c7d615901ca,exchange,Bitfinex 10
0xc56fefd1028b0534bfadcdb580d3519b5586246e,exchange,Bitfinex 11
0x0b73f67a49273fc4b9a65dbd25d7d0918e734e63,exchange,Bitfinex 12
0x482f02e8bc15b5eabc52c6497b425b3ca3c821e8,exchange,Bitfinex 13
0x742d35cc6634c0532925a3b844bc454e4438f44e,exchange,Bitfinex 2
0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,exchange,Bitfinex 3
0xdcd0272462140d0a3ced6c4bf970c7641f08cd2c,exchange,Bitfinex 4
0x4fdd5eb2fb260149a3903859043e962ab89d8ed4,exchange,Bitfinex 5
0x1b29dd8ff0eb3240238bf97cafd6edea05d5ba82,exchange,Bitfinex 6
0x30a2ebf10f34c6c4874b0bdd5740690fd2f3b70c,exchange,Bitfinex 7
0x3f7e77b627676763997344a1ad71acb765fc8ac5,exchange,Bitfinex 8
0x59448fe20378357f206880c58068f095ae63d5a5,exchange,Bitfinex 9
0xab7c74abc0c4d48d1bdad5dcb26153fc8780f83e,exchange,Bitfinex: MultiSig 1
0xc6cde7c39eb2f0f0095f41570af89efc2c1ea828,exchange,Bitfinex: MultiSig 2
0xc61b9bb3a7a0767e3179713f3a5c7a9aedce193c,exchange,Bitfinex: MultiSig 3
0x111cff45948819988857bbf1966a0399e0d1141e,exchange,bitFlyer
0xdf5021a4c1401f1125cd347e394d977630e17cf7,exchange,BITFRONT
0x88d34944cf554e9cccf4a24292d891f620e9c94f,exchange,Bithumb 1
0x186549a4ae594fc1f70ba4cffdac714b405be3f9,exchange,Bithumb 10
0xd273bd546b11bd60214a2f9d71f22a088aafe31b,exchange,Bithumb 11
0x558553d54183a8542f7832742e7b4ba9c33aa1e6,exchange,Bithumb 12
0x3052cd6bf951449a984fe4b5a38b46aef9455c8e,exchange,Bithumb 2
0x2140efd7ba31169c69dfff6cdc66c542f0211825,exchange,Bithumb 3
0xa0ff1e0f30b5dda2dc01e7e828290bc72b71e57d,exchange,Bithumb 4
0xc1da8f69e4881efe341600620268934ef01a3e63,exchange,Bithumb 5
0xb4460b75254ce0563bb68ec219208344c7ea838c,exchange,Bithumb 6
0x15878e87c685f866edfaf454be6dc06fa517b35b,exchange,Bithumb 7
0x31d03f07178bcd74f9099afebd23b0ae30184ab5,exchange,Bithumb 8
0xed48dc0628789c2956b1e41726d062a86ec45bff,exchange,Bithumb 9
0x3fbe1f8fc5ddb27d428aa60f661eaaab0d2000ce,exchange,Bithumb: Contract 1
0xe79eef9b9388a4ff70ed7ec5bccd5b928ebb8bd1,exchange,BitMart
0x68b22215ff74e3606bd5e6c1de8c2d68180c85f7,exchange,BitMart 2
0xeea81c4416d71cef071224611359f6f99a4c4294,exchange,BitMEX 1
0xfb8131c260749c7835a08ccbdb64728de432858e,exchange,BitMEX 2
0x6cc8dcbca746a6e4fdefb98e1d0df903b107fd21,exchange,Bitrue
0x00bdb5699745f5b860228c8f939abf1b9ae374ed,exchange,Bitstamp 1
0x1522900b6dafac587d499a862861c0869be6e428,exchange,Bitstamp 2
0x9a9bed3eb03e386d66f8a29dc67dc29bbb1ccb72,exchange,Bitstamp 3
0x059799f2261d37b829c2850cee67b5b975432271,exchange,Bitstamp 4
0x4c766def136f59f6494f0969b1355882080cf8e0,exchange,Bitstamp 5
0xc5b611f502a0dcf6c3188fd494061ae29b2baa4f,exchange,Bitstamp 6
0x964771f6df31eea2d927fa71d7bd78e81bcdce05,exchange,Bitstamp: Contract 1
0x1b8a38ea02ceda9440e00c1aeba26ee2dc570423,exchange,BITStorage
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,exchange,Bittrex
